Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,num_cc,num_price
Cadillac,Escalade,6.2L V8 Gasoline,6200 cc,420 hp,210 km/h,6.8 sec,"$79,295 ",Petrol,7,624 Nm,6200.0,79295.0
Tata Motors,Indigo LX,1.4L CR4 Diesel,1396 cc,70 hp,150 km/h,17 sec,"$7,000 ",Diesel,5,140 Nm,1396.0,7000.0
Tata Motors,Indigo GLX,1.4L MPFI Petrol,1396 cc,85 hp,160 km/h,15 sec,"$7,200 ",Petrol,5,115 Nm,1396.0,7200.0
Cadillac,Escalade ESV,6.2L V8 Gasoline,6200 cc,420 hp,205 km/h,6.9 sec,"$82,295 ",Petrol,7,624 Nm,6200.0,82295.0
Tata Motors,Nexon EV Max,Permanent Magnet Synchronous,40.5 kWh,143 hp,140 km/h,9 sec,"$25,000 ",Electric,5,250 Nm,405.0,25000.0
Tata Motors,Harrier,2.0L Kryotec Turbocharged Diesel,1956 cc,168 hp,180 km/h,11 sec,"$23,000 ",Diesel,5,350 Nm,1956.0,23000.0
Tata Motors,Safari,2.0L Kryotec Turbocharged Diesel,1956 cc,168 hp,180 km/h,11 sec,"$25,500 ",Diesel,7,350 Nm,1956.0,25500.0
Tata Motors,Punch,1.2L Revotron Petrol,1199 cc,86 hp,160 km/h,16 sec,"$10,500 ",Petrol,5,113 Nm,1199.0,10500.0
Tata Motors,Hexa,2.2L Varicor Diesel,2179 cc,154 hp,180 km/h,12 sec,"$20,000 ",Diesel,7,400 Nm,2179.0,20000.0
Tata Motors,Aria,2.2L Dicor Diesel,2179 cc,138 hp,162 km/h,13 sec,"$19,000 ",Diesel,7,320 Nm,2179.0,19000.0
Tata Motors,Sumo Gold,3.0L CR4 Diesel,2956 cc,85 hp,125 km/h,17.6 sec,"$15,000 ",Diesel,7,250 Nm,2956.0,15000.0
Tata Motors,Sumo Grande,2.2L Dicor Diesel,2179 cc,118 hp,140 km/h,15 sec,"$16,500 ",Diesel,7,250 Nm,2179.0,16500.0
Tata Motors,Nexon EV Prime,Permanent Magnet Synchronous,30.2 kWh,129 hp,120 km/h,9.4 sec,"$22,000 ",Electric,5,245 Nm,302.0,22000.0
Tata Motors,Tiago EV,Permanent Magnet Synchronous,24 kWh,74 hp,120 km/h,5.7 sec,"$11,000 ",Electric,5,114 Nm,24.0,11000.0
Tesla,Model S,Dual Electric Motors,100 kWh,670 hp,250 km/h,3.1 sec,"$88,490 ",Electric,5,967 Nm,100.0,88490.0
Tesla,Model 3,Single Electric Motor (RWD),60 kWh,283 hp,225 km/h,5.8 sec,"$40,240 ",Electric,5,420 Nm,60.0,40240.0
Tesla,Model 3 Performance,Dual Electric Motors (AWD),82 kWh,450 hp,261 km/h,3.1 sec,"$53,240 ",Electric,5,660 Nm,82.0,53240.0
Tesla,Model X,Dual Electric Motors (AWD),100 kWh,670 hp,250 km/h,3.8 sec,"$98,490 ",Electric,7,967 Nm,100.0,98490.0
Tesla,Model Y,Single Electric Motor (RWD),75 kWh,346 hp,217 km/h,5.0 sec,"$47,490 ",Electric,5,498 Nm,75.0,47490.0
Tesla,Model Y Long Range,Dual Electric Motors (AWD),82 kWh,384 hp,217 km/h,4.8 sec,"$50,490 ",Electric,5,559 Nm,82.0,50490.0
Tesla,Cybertruck,Tri Electric Motors,200 kWh,800 hp,209 km/h,2.9 sec,"$69,900 ",Electric,6,"1,355 Nm",200.0,69900.0
Jeep,Wrangler,3.6L V6 Pentastar Gasoline,3600 cc,285 hp,180 km/h,6.8 sec,"$35,195 ",Petrol,4,353 Nm,3600.0,35195.0
Jeep,Wrangler Rubicon,2.0L Turbo I4 Gasoline,2000 cc,270 hp,180 km/h,7.1 sec,"$42,100 ",Petrol,4,400 Nm,2000.0,42100.0
Jeep,Grand Cherokee,3.6L V6 Pentastar Gasoline,3600 cc,293 hp,209 km/h,7.0 sec,"$41,530 ",Petrol,5,352 Nm,3600.0,41530.0
Jeep,Grand Cherokee L,3.6L V6 Pentastar Gasoline,3600 cc,293 hp,209 km/h,7.2 sec,"$43,530 ",Petrol,7,352 Nm,3600.0,43530.0
Jeep,Cherokee,2.4L I4 Tigershark Gasoline,2400 cc,180 hp,195 km/h,8.5 sec,"$37,695 ",Petrol,5,230 Nm,2400.0,37695.0
Jeep,Compass,2.0L Turbo Gasoline,2000 cc,200 hp,200 km/h,7.8 sec,"$31,590 ",Petrol,5,320 Nm,2000.0,31590.0
Jeep,Renegade,1.3L Turbo I4 Gasoline,1300 cc,177 hp,200 km/h,8.7 sec,"$28,345 ",Petrol,5,285 Nm,1300.0,28345.0
Jeep,Gladiator,3.6L V6 Pentastar Gasoline,3600 cc,285 hp,177 km/h,8.1 sec,"$38,775 ",Petrol,5,353 Nm,3600.0,38775.0
Jeep,Grand Cherokee 4xe,2.0L Turbo PHEV,17.3 kWh,375 hp,210 km/h,6.0 sec,"$59,865 ",Hybrid,5,637 Nm,173.0,59865.0
Jeep,Wrangler 4xe,2.0L Turbo PHEV,17.3 kWh,375 hp,180 km/h,6.4 sec,"$50,695 ",Hybrid,5,637 Nm,173.0,50695.0
Jeep,Compass 4xe,1.3L Turbo PHEV,11.4 kWh,240 hp,200 km/h,7.3 sec,"$46,500 ",Hybrid,5,270 Nm,114.0,46500.0
Jeep,Renegade 4xe,1.3L Turbo PHEV,11.4 kWh,240 hp,200 km/h,7.5 sec,"$44,500 ",Hybrid,5,270 Nm,114.0,44500.0
Jeep,Wagoneer S (Electric),Dual Electric Motors,100 kWh,600 hp,177 km/h,4.5 sec,"$80,000 ",Electric,5,850 Nm,100.0,80000.0
Jeep,Gladiator Mojave Edition,3.6L V6 Pentastar Gasoline,3600 cc,285 hp,177 km/h,8.6 sec,"$51,570 ",Petrol,5,353 Nm,3600.0,51570.0
Jeep,Grand Cherokee Summit Reserve,5.7L V8 Gasoline,5700 cc,357 hp,190 km/h,7.3 sec,"$66,575 ",Petrol,5,529 Nm,5700.0,66575.0
Jeep,Jeep Cherokee X Edition,3.2L V6 Pentastar Gasoline,3200 cc,271 hp,195 km/h,7.6 sec,"$41,295 ",Petrol,5,324 Nm,3200.0,41295.0
Jeep,Wrangler 392,6.4L V8 HEMI Gasoline,6400 cc,470 hp,160 km/h,4.5 sec,"$82,495 ",Petrol,4,637 Nm,6400.0,82495.0
Cadillac,XT4,2.0L Turbo Inline-4 Gasoline,2000 cc,235 hp,220 km/h,7.6 sec,"$37,490 ",Petrol,5,350 Nm,2000.0,37490.0
Cadillac,XT5,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.5 sec,"$44,195 ",Petrol,5,366 Nm,3600.0,44195.0
Cadillac,XT6,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.9 sec,"$48,595 ",Petrol,7,366 Nm,3600.0,48595.0
Cadillac,Lyriq EV,Single Electric Motor,100 kWh,340 hp,190 km/h,5.7 sec,"$58,590 ",Electric,5,440 Nm,100.0,58590.0
Cadillac,Escalade V,6.2L Supercharged V8 Gasoline,6200 cc,682 hp,200 km/h,4.4 sec,"$149,990 ",Petrol,7,885 Nm,6200.0,149990.0
Cadillac,Escalade Platinum,6.2L V8 Gasoline,6200 cc,420 hp,210 km/h,6.8 sec,"$104,595 ",Petrol,7,624 Nm,6200.0,104595.0
Cadillac,CT5-V Blackwing,6.2L Supercharged V8 Gasoline,6200 cc,668 hp,320 km/h,3.4 sec,"$92,000 ",Petrol,5,893 Nm,6200.0,92000.0
Cadillac,CT4-V Blackwing,3.6L Twin-Turbo V6 Gasoline,3600 cc,472 hp,290 km/h,3.9 sec,"$60,495 ",Petrol,5,603 Nm,3600.0,60495.0
Cadillac,XT4 Sport,2.0L Turbo Inline-4 Gasoline,2000 cc,235 hp,220 km/h,7.4 sec,"$41,390 ",Petrol,5,350 Nm,2000.0,41390.0
Cadillac,XT5 Sport,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.5 sec,"$51,095 ",Petrol,5,366 Nm,3600.0,51095.0
Cadillac,XT6 Sport,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.9 sec,"$57,095 ",Petrol,7,366 Nm,3600.0,57095.0
Cadillac,Lyriq Launch Edition,Single Electric Motor,100 kWh,340 hp,190 km/h,5.7 sec,"$59,990 ",Electric,5,440 Nm,100.0,59990.0
Cadillac,Lyriq EV Premium,Dual Electric Motors,100 kWh,500 hp,210 km/h,4.5 sec,"$64,990 ",Electric,5,620 Nm,100.0,64990.0
Cadillac,CT5 Premium Luxury,2.0L Turbo Inline-4 Gasoline,2000 cc,237 hp,240 km/h,6.8 sec,"$41,290 ",Petrol,5,350 Nm,2000.0,41290.0
Chevrolet,Spark,1.4L Inline-4 Gasoline,1400 cc,98 hp,180 km/h,10.7 sec,"$14,595 ",Petrol,5,127 Nm,1400.0,14595.0
Chevrolet,Sonic,1.4L Turbo Inline-4 Gasoline,1400 cc,138 hp,190 km/h,8.5 sec,"$16,720 ",Petrol,5,200 Nm,1400.0,16720.0
Chevrolet,Malibu,1.5L Turbo Inline-4 Gasoline,1500 cc,160 hp,210 km/h,8.0 sec,"$25,000 ",Petrol,5,250 Nm,1500.0,25000.0
Chevrolet,Camaro,2.0L Turbo Inline-4 Gasoline,2000 cc,275 hp,240 km/h,5.4 sec,"$26,400 ",Petrol,4,400 Nm,2000.0,26400.0
Chevrolet,Corvette,6.2L V8 Gasoline,6200 cc,495 hp,312 km/h,3.0 sec,"$65,895 ",Petrol,2,637 Nm,6200.0,65895.0
Chevrolet,Traverse,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.0 sec,"$35,915 ",Petrol,7,360 Nm,3600.0,35915.0
Chevrolet,Equinox,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.9 sec,"$26,600 ",Petrol,5,275 Nm,1500.0,26600.0
Chevrolet,Blazer,3.6L V6 Gasoline,3600 cc,308 hp,220 km/h,6.6 sec,"$44,000 ",Petrol,5,366 Nm,3600.0,44000.0
Chevrolet,Tahoe,5.3L V8 Gasoline,5300 cc,355 hp,200 km/h,7.5 sec,"$56,995 ",Petrol,7,519 Nm,5300.0,56995.0
Chevrolet,Colorado,2.7L Turbo Inline-4 Gasoline,2700 cc,310 hp,190 km/h,6.8 sec,"$30,695 ",Petrol,5,583 Nm,2700.0,30695.0
Chevrolet,Silverado 1500,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.0 sec,"$42,795 ",Petrol,6,519 Nm,5300.0,42795.0
Chevrolet,Silverado 2500HD,6.6L V8 Gasoline,6600 cc,401 hp,170 km/h,8.0 sec,"$41,500 ",Petrol,6,629 Nm,6600.0,41500.0
